reference_id,authors,year,title,container,doi,url,theoretical_stream,legacy_standard_relevance,technology_constraint_relevance,gap_for_this_project,verification_source,verification_status,raw_path
PA011,Gregory C Unruh,2000,Understanding carbon lock-in,Energy Policy,10.1016/s0301-4215(00)00070-7,https://doi.org/10.1016/s0301-4215(00)00070-7,infrastructure lock-in,"Shows technical, institutional, and social systems can co-produce lock-in.",Supporting,Generalizes beyond carbon systems while preserving mechanism-specific analysis.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA011_10-1016-s0301-4215-00-00070-7_crossref_2026-09-24.json
PA012,Frank W. Geels,2002,Technological transitions as evolutionary reconfiguration processes: a multi-level perspective and a case-study,Research Policy,10.1016/s0048-7333(02)00062-8,https://doi.org/10.1016/s0048-7333(02)00062-8,socio-technical transitions,Provides a multi-level account of technological transitions.,Direct,Adds standard-specific decision reconstruction and regret estimates.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA012_10-1016-s0048-7333-02-00062-8_crossref_2026-09-24.json
PA013,Frank W. Geels,2004,From sectoral systems of innovation to socio-technical systems,Research Policy,10.1016/j.respol.2004.01.015,https://doi.org/10.1016/j.respol.2004.01.015,socio-technical transitions,Moves from sectoral innovation systems to socio-technical systems.,Direct,Links system change to auditable incumbent/current/transition-adjusted optima.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA013_10-1016-j-respol-2004-01-015_crossref_2026-09-24.json
PA014,Giovanni Dosi,1982,Technological paradigms and technological trajectories,Research Policy,10.1016/0048-7333(82)90016-6,https://doi.org/10.1016/0048-7333(82)90016-6,technological trajectories,Explains paradigms and trajectory-bound technical change.,Supporting,Tests when a standard remains tied to an earlier trajectory.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA014_10-1016-0048-7333-82-90016-6_crossref_2026-09-24.json
PA015,Fernando F. Suarez,2004,Battles for technological dominance: an integrative framework,Research Policy,10.1016/j.respol.2003.07.001,https://doi.org/10.1016/j.respol.2003.07.001,standards battles and dominance,Integrates determinants of technological dominance.,Supporting,Focuses on post-dominance adaptation rather than dominance formation alone.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA015_10-1016-j-respol-2003-07-001_crossref_2026-09-24.json
PA016,Stefan Timmermans; Steven Epstein,2010,A World of Standards but not a Standard World: Toward a Sociology of Standards and Standardization,Annual Review of Sociology,10.1146/annurev.soc.012809.102629,https://doi.org/10.1146/annurev.soc.012809.102629,sociology of standards,Shows standards have heterogeneous institutional and distributive consequences.,Supporting,Adds optimization language without reducing social outcomes to one metric.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA016_10-1146-annurev-soc-012809-102629_crossref_2026-09-24.json
PA017,Robert H Allen; Ram D Sriram,2000,The Role of Standards in Innovation,Technological Forecasting and Social Change,10.1016/s0040-1625(99)00104-3,https://doi.org/10.1016/s0040-1625(99)00104-3,standards and innovation,Documents reciprocal positive and negative effects of standards and innovation.,Supporting,Audits when innovation changes the constraints that justified a standard.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA017_10-1016-s0040-1625-99-00104-3_crossref_2026-09-24.json
PA018,Knut Blind; Martin Kenney; Aija Leiponen; Timothy Simcoe,2023,Standards and innovation: A review and introduction to the special issue,Research Policy,10.1016/j.respol.2023.104830,https://doi.org/10.1016/j.respol.2023.104830,standards and innovation,Synthesizes modern research on standards and innovation.,Supporting,"Positions the audit as a measurement framework, not a claim that standards generally inhibit innovation.",Crossref exact DOI record,verified,data/raw/prior_art/doi/PA018_10-1016-j-respol-2023-104830_crossref_2026-09-24.json
PA019,Paul Moritz Wiegmann; Henk J. de Vries; Knut Blind,2017,Multi-mode standardisation: A critical review and a research agenda,Research Policy,10.1016/j.respol.2017.06.002,https://doi.org/10.1016/j.respol.2017.06.002,standardization modes,Distinguishes multiple modes of standardization.,Supporting,Requires case-specific institutional form and revision pathway.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA019_10-1016-j-respol-2017-06-002_crossref_2026-09-24.json
PA020,Knut Blind; Bastian Krieger; Maikel Pellens,2022,"The interplay between product innovation, publishing, patenting and developing standards",Research Policy,10.1016/j.respol.2022.104556,https://doi.org/10.1016/j.respol.2022.104556,innovation and standards production,"Examines interaction among product innovation, publishing, patenting, and standards.",Supporting,Studies downstream persistence after technological conditions change.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA020_10-1016-j-respol-2022-104556_crossref_2026-09-24.json
PA021,Knut Blind; Maximilian von Laer,2022,Paving the path: drivers of standardization participation at ISO,The Journal of Technology Transfer,10.1007/s10961-021-09871-4,https://doi.org/10.1007/s10961-021-09871-4,standards participation,Identifies drivers of participation in formal standardization.,Supporting,Treats revision governance as a transition-cost determinant.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA021_10-1007-s10961-021-09871-4_crossref_2026-09-24.json
PA022,Satish Nambisan; Kalle Lyytinen; Ann Majchrzak; Michael Song,2017,Digital Innovation Management: Reinventing Innovation Management Research in a Digital World,MIS Quarterly,10.25300/misq/2017/41:1.03,https://doi.org/10.25300/misq/2017/41:1.03,digital innovation,Reframes innovation under pervasive digital technologies.,Direct,"Tests sensing, computation, and coordination as constraint-changing mechanisms.",Crossref exact DOI record,verified,data/raw/prior_art/doi/PA022_10-25300-misq-2017-41-1-03_crossref_2026-09-24.json
PA023,Youngjin Yoo; Ola Henfridsson; Kalle Lyytinen,2010,The New Organizing Logic of Digital Innovation: An Agenda for Information Systems Research,Information Systems Research,10.1287/isre.1100.0322,https://doi.org/10.1287/isre.1100.0322,digital innovation architecture,Describes recombinable layered modular digital architecture.,Direct,Contrasts fixed standards with adaptive and software-mediated alternatives.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA023_10-1287-isre-1100-0322_crossref_2026-09-24.json
PA024,Geerten van de Kaa; Marijn Janssen; Jafar Rezaei,2018,Standards battles for business-to-government data exchange: Identifying success factors for standard dominance using the Best Worst Method,Technological Forecasting and Social Change,10.1016/j.techfore.2018.07.041,https://doi.org/10.1016/j.techfore.2018.07.041,TFSC standards dominance,Identifies success factors in standards battles.,Supporting,Moves from standard dominance to post-lock-in re-optimization.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA024_10-1016-j-techfore-2018-07-041_crossref_2026-09-24.json
PA025,Torsten Heinrich,2014,"Standard wars, tied standards, and network externality induced path dependence in the ICT sector",Technological Forecasting and Social Change,10.1016/j.techfore.2013.04.015,https://doi.org/10.1016/j.techfore.2013.04.015,TFSC path dependence and standards,Models standards wars and network-externality-induced path dependence.,Supporting,Requires empirical separation of network benefit from current technical regret.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA025_10-1016-j-techfore-2013-04-015_crossref_2026-09-24.json
PA026,Wilfred Dolfsma; Loet Leydesdorff,2009,Lock-in and break-out from technological trajectories: Modeling and policy implications,Technological Forecasting and Social Change,10.1016/j.techfore.2009.02.004,https://doi.org/10.1016/j.techfore.2009.02.004,TFSC trajectory lock-in,Models lock-in and break-out from technological trajectories.,Direct,Adds cross-case audit rules and transition-adjusted thresholds.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA026_10-1016-j-techfore-2009-02-004_crossref_2026-09-24.json
PA027,Robin Cowan; Staffan Hultén,1996,Escaping lock-in: The case of the electric vehicle,Technological Forecasting and Social Change,10.1016/0040-1625(96)00059-5,https://doi.org/10.1016/0040-1625(96)00059-5,TFSC escape from lock-in,Analyzes escape from electric-vehicle lock-in.,Supporting,Extends to heterogeneous standards with null controls.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA027_10-1016-0040-1625-96-00059-5_crossref_2026-09-24.json
PA028,J.J. Bos; R.R. Brown,2012,Governance experimentation and factors of success in socio-technical transitions in the urban water sector,Technological Forecasting and Social Change,10.1016/j.techfore.2012.04.006,https://doi.org/10.1016/j.techfore.2012.04.006,TFSC transition governance,Studies governance experimentation in socio-technical transitions.,Direct,Treats adaptive revision institutions as part of the feasible redesign.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA028_10-1016-j-techfore-2012-04-006_crossref_2026-09-24.json
PA029,Christina Weber; Klaus Sailer; Bernhard Katzy,2015,Real-time foresight — Preparedness for dynamic networks,Technological Forecasting and Social Change,10.1016/j.techfore.2015.05.016,https://doi.org/10.1016/j.techfore.2015.05.016,TFSC real-time information,Develops real-time foresight for dynamic networks.,Direct,Tests whether real-time sensing/control removes information-scarcity assumptions.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA029_10-1016-j-techfore-2015-05-016_crossref_2026-09-24.json
PA030,Apinya Kamolsook; Yuosre F. Badir; Björn Frank,2019,Consumers' switching to disruptive technology products: The roles of comparative economic value and technology type,Technological Forecasting and Social Change,10.1016/j.techfore.2018.12.023,https://doi.org/10.1016/j.techfore.2018.12.023,TFSC switching behavior,Examines switching to disruptive technology products.,Supporting,Uses switching costs as a core test rather than an afterthought.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA030_10-1016-j-techfore-2018-12-023_crossref_2026-09-24.json
PA031,Jae-Yong Choung; Tahir Hameed; Illyong Ji,2012,"Catch-up in ICT standards: Policy, implementation and standards-setting in South Korea",Technological Forecasting and Social Change,10.1016/j.techfore.2011.10.007,https://doi.org/10.1016/j.techfore.2011.10.007,TFSC standards policy,Studies catch-up through ICT standards policy and implementation.,Supporting,Emphasizes governance capacity in standards revision.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA031_10-1016-j-techfore-2011-10-007_crossref_2026-09-24.json
PA032,F.W. Geels,2005,Processes and patterns in transitions and system innovations: Refining the co-evolutionary multi-level perspective,Technological Forecasting and Social Change,10.1016/j.techfore.2004.08.014,https://doi.org/10.1016/j.techfore.2004.08.014,TFSC transition patterns,Refines multi-level transition processes and patterns.,Direct,Supplies transition theory while the audit contributes comparable decision reconstruction.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA032_10-1016-j-techfore-2004-08-014_crossref_2026-09-24.json
