candidate_id,candidate_name,domain,jurisdiction,incumbent_standard,origin_or_formalization,lock_in_period,historical_objective,historical_constraints,historical_evidence,technology_change,other_changes,modern_decision_variable,outcomes,datasets,switching_costs,network_costs,regulation,safety,externalities,identifiability,tractability,comparability,source_quality,negative_control_suitability,tfsc_relevance,technology_mediated_relevance,historical_evidence_score,technology_relevance_score,decision_clarity_score,current_data_score,identifiability_score,counterfactual_feasibility_score,transition_cost_feasibility_score,source_quality_score,comparability_score,total_score,exclusion_flag,verification_status,screening_status,screening_reason
TR01,Fixed-time traffic signals,transport,International or jurisdiction-specific; verify before selection,Pre-timed signal plans,Traffic engineering manuals and local signal plans,To be established from authoritative historical sources,Move people or vehicles safely using predictable fixed rules.,"Limited real-time detection, communication, optimization, and traveler information.",Candidate-level lead only; authoritative history not yet verified,"Loop/video detection, connected control, and adaptive optimization","Demand patterns, urban form, vehicle mix, emissions, and equity priorities.",Phase sequence and green split by time,"Delay, queues, stops, emissions, pedestrian wait",FHWA datasets; open signal and traffic-count data; SUMO,"Infrastructure retrofit, control-center integration, enforcement, and user adaptation.","Corridor, fleet, and jurisdiction-wide interoperability.","Road, transit, rail, aviation, or maritime rules apply.","Collision, fail-safe operation, and degraded-mode performance are binding.","Congestion, emissions, noise, access, and injury risk.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; communication; adaptive control,3,3,3,2,2,3,2,3,3,24,,selection_sources_persisted_and_checked,frozen_supplementary,FHWA definitions and complete NYC hourly count profiles permit a transparent pre-timed versus responsive signal-control sensitivity analysis.
TR02,Fixed speed limits,transport,International or jurisdiction-specific; verify before selection,Static posted speed limits,Road design and traffic law,To be established from authoritative historical sources,Move people or vehicles safely using predictable fixed rules.,"Limited real-time detection, communication, optimization, and traveler information.",Candidate-level lead only; authoritative history not yet verified,"Weather, incident, and traffic sensing with variable signs","Demand patterns, urban form, vehicle mix, emissions, and equity priorities.",Speed limit by segment and time,"Crashes, travel time, flow stability, emissions","Open crash, weather, and detector data","Infrastructure retrofit, control-center integration, enforcement, and user adaptation.","Corridor, fleet, and jurisdiction-wide interoperability.","Road, transit, rail, aviation, or maritime rules apply.","Collision, fail-safe operation, and degraded-mode performance are binding.","Congestion, emissions, noise, access, and injury risk.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; communication; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
TR03,Fixed transit timetables,transport,International or jurisdiction-specific; verify before selection,Published periodic timetables,Rail and bus operating standards,To be established from authoritative historical sources,Move people or vehicles safely using predictable fixed rules.,"Limited real-time detection, communication, optimization, and traveler information.",Candidate-level lead only; authoritative history not yet verified,Automatic vehicle location and real-time dispatch,"Demand patterns, urban form, vehicle mix, emissions, and equity priorities.",Departure times and holding policy,"Wait, reliability, transfers, fleet use",GTFS and GTFS-realtime archives,"Infrastructure retrofit, control-center integration, enforcement, and user adaptation.","Corridor, fleet, and jurisdiction-wide interoperability.","Road, transit, rail, aviation, or maritime rules apply.","Collision, fail-safe operation, and degraded-mode performance are binding.","Congestion, emissions, noise, access, and injury risk.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; communication; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
TR04,Static bus routes,transport,International or jurisdiction-specific; verify before selection,Fixed routes and stops,Municipal transit network planning,To be established from authoritative historical sources,Move people or vehicles safely using predictable fixed rules.,"Limited real-time detection, communication, optimization, and traveler information.",Candidate-level lead only; authoritative history not yet verified,Demand-responsive routing and mobile booking,"Demand patterns, urban form, vehicle mix, emissions, and equity priorities.","Route, stop, and dispatch decisions","Access, ride time, operating cost, equity",GTFS; open trip-demand data,"Infrastructure retrofit, control-center integration, enforcement, and user adaptation.","Corridor, fleet, and jurisdiction-wide interoperability.","Road, transit, rail, aviation, or maritime rules apply.","Collision, fail-safe operation, and degraded-mode performance are binding.","Congestion, emissions, noise, access, and injury risk.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; computation; digital coordination,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
TR05,Fixed parking prices,transport,International or jurisdiction-specific; verify before selection,Uniform or time-block curb prices,Municipal parking ordinances,To be established from authoritative historical sources,Move people or vehicles safely using predictable fixed rules.,"Limited real-time detection, communication, optimization, and traveler information.",Candidate-level lead only; authoritative history not yet verified,Space occupancy sensors and digital payment,"Demand patterns, urban form, vehicle mix, emissions, and equity priorities.",Price by block and time,"Occupancy, cruising, revenue, access",SFpark and municipal parking datasets,"Infrastructure retrofit, control-center integration, enforcement, and user adaptation.","Corridor, fleet, and jurisdiction-wide interoperability.","Road, transit, rail, aviation, or maritime rules apply.","Collision, fail-safe operation, and degraded-mode performance are binding.","Congestion, emissions, noise, access, and injury risk.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
TR06,Uniform lane widths,transport,International or jurisdiction-specific; verify before selection,Fixed design lane widths by road class,Highway design manuals,To be established from authoritative historical sources,Move people or vehicles safely using predictable fixed rules.,"Limited real-time detection, communication, optimization, and traveler information.",Candidate-level lead only; authoritative history not yet verified,Lane-keeping assistance and automated steering,"Demand patterns, urban form, vehicle mix, emissions, and equity priorities.",Lane width by context and vehicle mix,"Safety, capacity, land use, speed",Road inventories; crash microdata,"Infrastructure retrofit, control-center integration, enforcement, and user adaptation.","Corridor, fleet, and jurisdiction-wide interoperability.","Road, transit, rail, aviation, or maritime rules apply.","Collision, fail-safe operation, and degraded-mode performance are binding.","Congestion, emissions, noise, access, and injury risk.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,automation; sensing,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
TR07,Fixed airport slot plans,transport,International or jurisdiction-specific; verify before selection,Seasonal scheduled airport slots,Airport coordination rules,To be established from authoritative historical sources,Move people or vehicles safely using predictable fixed rules.,"Limited real-time detection, communication, optimization, and traveler information.",Candidate-level lead only; authoritative history not yet verified,Collaborative decision-making and real-time trajectory data,"Demand patterns, urban form, vehicle mix, emissions, and equity priorities.",Slot and gate allocation under disruption,"Delay, cancellations, fuel, fairness",OpenSky; BTS on-time data,"Infrastructure retrofit, control-center integration, enforcement, and user adaptation.","Corridor, fleet, and jurisdiction-wide interoperability.","Road, transit, rail, aviation, or maritime rules apply.","Collision, fail-safe operation, and degraded-mode performance are binding.","Congestion, emissions, noise, access, and injury risk.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; computation; digital coordination,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
TR08,Fixed-block railway signaling,transport,International or jurisdiction-specific; verify before selection,Track divided into fixed occupancy blocks,Railway signaling standards,To be established from authoritative historical sources,Move people or vehicles safely using predictable fixed rules.,"Limited real-time detection, communication, optimization, and traveler information.",Candidate-level lead only; authoritative history not yet verified,Continuous train localization and moving-block control,"Demand patterns, urban form, vehicle mix, emissions, and equity priorities.",Safe separation and train speed profile,"Capacity, delay, energy, safety margin",Open rail timetables; simulation benchmarks,"Infrastructure retrofit, control-center integration, enforcement, and user adaptation.","Corridor, fleet, and jurisdiction-wide interoperability.","Road, transit, rail, aviation, or maritime rules apply.","Collision, fail-safe operation, and degraded-mode performance are binding.","Congestion, emissions, noise, access, and injury risk.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; communication; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
TR09,Manual toll plazas,transport,International or jurisdiction-specific; verify before selection,Barrier toll collection lanes,Road tolling operations,To be established from authoritative historical sources,Move people or vehicles safely using predictable fixed rules.,"Limited real-time detection, communication, optimization, and traveler information.",Candidate-level lead only; authoritative history not yet verified,Electronic tolling and plate recognition,"Demand patterns, urban form, vehicle mix, emissions, and equity priorities.",Lane allocation and toll collection method,"Delay, emissions, collection cost, privacy",Toll-agency traffic reports,"Infrastructure retrofit, control-center integration, enforcement, and user adaptation.","Corridor, fleet, and jurisdiction-wide interoperability.","Road, transit, rail, aviation, or maritime rules apply.","Collision, fail-safe operation, and degraded-mode performance are binding.","Congestion, emissions, noise, access, and injury risk.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; communication; automation,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
TR10,Fixed taxi fleet caps,transport,International or jurisdiction-specific; verify before selection,Numerical taxi licenses or medallions,Municipal taxi regulation,To be established from authoritative historical sources,Move people or vehicles safely using predictable fixed rules.,"Limited real-time detection, communication, optimization, and traveler information.",Candidate-level lead only; authoritative history not yet verified,App-based dispatch and platform demand observation,"Demand patterns, urban form, vehicle mix, emissions, and equity priorities.",Fleet cap and geographic/service obligations,"Wait, utilization, congestion, driver income",Municipal trip records,"Infrastructure retrofit, control-center integration, enforcement, and user adaptation.","Corridor, fleet, and jurisdiction-wide interoperability.","Road, transit, rail, aviation, or maritime rules apply.","Collision, fail-safe operation, and degraded-mode performance are binding.","Congestion, emissions, noise, access, and injury risk.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; digital coordination,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
AI01,Mechanical mirror requirements,automotive_interfaces,International or jurisdiction-specific; verify before selection,Required physical rear-view mirrors,Vehicle construction and use standards,To be established from authoritative historical sources,Provide consistent vehicle operation and inspection with mechanical interfaces.,"Mechanical linkages, analog displays, limited onboard sensing, and no connectivity.",Candidate-level lead only; authoritative history not yet verified,Camera-monitor systems and digital image processing,"Vehicle electrification, automation, demographics, and distraction concerns.","Mirror/camera field, placement, and redundancy","Visibility, drag, detection, reliability",Regulatory test procedures; crash and field studies,"Fleet turnover, homologation, repair tooling, and driver retraining.",Cross-manufacturer conventions and service ecosystems.,Vehicle safety and type-approval rules apply.,"Human factors, fail-operational behavior, and cybersecurity are binding.","Crash risk, emissions, accessibility, and repairability.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; computation,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
AI02,Fixed headlamp beam patterns,automotive_interfaces,International or jurisdiction-specific; verify before selection,Static low/high beam photometric limits,Vehicle lighting regulations,To be established from authoritative historical sources,Provide consistent vehicle operation and inspection with mechanical interfaces.,"Mechanical linkages, analog displays, limited onboard sensing, and no connectivity.",Candidate-level lead only; authoritative history not yet verified,Matrix LEDs and adaptive driving beams,"Vehicle electrification, automation, demographics, and distraction concerns.",Beam intensity distribution by scene,"Visibility, glare, energy, detection",Regulatory photometry; road safety studies,"Fleet turnover, homologation, repair tooling, and driver retraining.",Cross-manufacturer conventions and service ecosystems.,Vehicle safety and type-approval rules apply.,"Human factors, fail-operational behavior, and cybersecurity are binding.","Crash risk, emissions, accessibility, and repairability.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
AI03,Periodic emissions inspection,automotive_interfaces,International or jurisdiction-specific; verify before selection,Calendar-based tailpipe inspection,Vehicle emissions programs,To be established from authoritative historical sources,Provide consistent vehicle operation and inspection with mechanical interfaces.,"Mechanical linkages, analog displays, limited onboard sensing, and no connectivity.",Candidate-level lead only; authoritative history not yet verified,Onboard diagnostics and remote emissions sensing,"Vehicle electrification, automation, demographics, and distraction concerns.",Inspection trigger and test intensity,"High-emitter detection, cost, emissions",Remote-sensing programs; inspection records,"Fleet turnover, homologation, repair tooling, and driver retraining.",Cross-manufacturer conventions and service ecosystems.,Vehicle safety and type-approval rules apply.,"Human factors, fail-operational behavior, and cybersecurity are binding.","Crash risk, emissions, accessibility, and repairability.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; communication,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
